题型	编号	题干	选项A	选项B	选项C	选项D	正确答案
单选题	38	以下关于治安管理处罚听证程序说法错误的是(),处以三千元罚款的,有权申请听证,被责令停产停业的,有权申请听证	未成年被处拘留并执行的	有权申请听证	具有重大社会影响的案件	有权申请听证	A
单选题	39	被处罚人对治安管理处罚决定不服,有权()	申请行政复议	提起行政仲裁	提起申诉	申请重新调查	A
单选题	40	张某因嫖娼被处以行政拘留,张某不服处罚决定,提出行政复议,并申请暂缓执行行政拘留｡下列人员中,()可作为担保人,甲,张某的姑姑,法院工作人员,乙,张某的祖父,年过古稀,靠子女供养,丙,张某的兄弟,正在服缓刑期间	丁	张某的朋友	外地人	在本地经商	A
单选题	41	小王因吸食毒品被处行政拘留十日,因殴打他人被处行政拘留十五日,合并执行行政拘留的期限最长不超过()	十五日	二十日	二十五日	三十日	B
单选题	42	王某为博眼球,在小区消防演练现场拍摄视频,编造“小高层住户跳楼”的虚假信息发布至网络,引发居民恐慌｡当事人对处罚决定不服,根据《治安管理处罚法》,其合法救济途径是()	只能申请行政复议	只能提起行政诉讼	可直接提起行政诉讼	需先申请复核再复议	C
单选题	43	赵某(13岁)伙同他人一起打麻将赢了人民币一百零五元被公安机关现场查获,因赵某系未成年人,公安机关未对其进行治安处罚,但对于其所赢的一百零五元应当()	没收	追缴	退给输钱的人	收缴	D
单选题	44	甲乙丙丁四人自发成立了环卫保护小组,在保护生态环境活动中,因制止他人乱倒生活垃圾发生口角,进而共同殴打他人,后被公安机关查获,对四人殴打他人的行为,公安机关应当()	按四人在殴打他人中所起的作用分别处罚	处罚该单位的组织者甲	处罚该单位环卫保护组	处罚该单位负责人	C
单选题	45	刘某将在公交车上盗走其手机(价值六百元)和十元人民币的张某扭送至公安机关,张某矢口否认盗窃,但手机等物证及见证人陈述能够充分证明案件事实的存在,公安机关据此()作出治安管理处罚决定	可以	不能	待张某承认后可以	以上说法都不对	A
单选题	46	张某于2025年8月1日被决定行政拘留5日,当日16时入所执行,其应当在()出所	8月5日16时前	8月5日	8月6日	8月7日	C
单选题	47	以下构成寻衅滋事的()	结伙殴打他人	互殴	侵占他人较大价值财物	追逐、拦截他人	D
单选题	48	有两种以上违反治安管理行为的,合并执行行政拘留的最长期限为()	十五日	二十日	二十五日	三十日	B
单选题	49	经公安机关调解达成协议并履行的治安案件,应当()	从轻处罚	减轻处罚	不予处罚	保留处罚权	C
单选题	50	已满十四周岁不满十八周岁的人违反治安管理的,应当()	免于处罚	从轻或者减轻处罚	加重处罚	与成年人同等处罚	B
单选题	51	违反治安管理行为在()内没有被公安机关发现的,不再处罚	三个月	六个月	一年	二年	B
单选题	52	对于情节特别轻微的违反治安管理行为,公安机关可以()	从轻、减轻处罚或者不予处罚	从重处罚	必须进行警告	必须进行罚款	A
单选题	53	醉酒的人违反治安管理的,应当()	不予处罚	减轻处罚	从重处罚	给予处罚	D
单选题	54	被处罚人对治安管理处罚决定不服的,可以依法申请行政复议的期限是()	自收到处罚决定书之日起十五日内	自收到处罚决定书之日起三十日内	自收到处罚决定书之日起六十日内	自收到处罚决定书之日起六个月内	C
单选题	55	违反治安管理行为人提出的事实、理由或证据成立的,公安机关应当()	不予采纳	复核后决定	予以采纳	向上级汇报	C
单选题	56	公安机关对违反治安管理行为人进行询问查证的一般期限为()	六小时	八小时	十二小时	二十四小时	B
单选题	57	公安机关作出治安管理处罚决定后,处罚决定书无需载明的内容是()	违法事实和证据	处罚种类和依据	被处罚人家庭收入	行政复议途径	C
单选题	58	公安机关办理治安案件时,对查获的淫秽物品应当()	没收	收缴	拍卖	销毁	B
单选题	59	公安机关对治安案件所作的调解为()	司法调解	人民调解	治安调解	民事调解	C
单选题	60	公安机关对治安案件的调解,其内容是()	民间纠纷的实体内容	违反治安管理行为及相关损害赔偿	有关损害赔偿	以上答案都不对	B
单选题	61	下列情形中,不适用治安调解的有()	制造噪声干扰他人正常生活	偷开他人机动车	结伙斗殴	捏造事实诽谤他人	C
单选题	62	下列各项中属于公安机关行使治安管理处罚的种类有()	警告	没收违法所得	责令停产停业	收缴	A
单选题	63	《治安管理处罚法》规定的处罚种类有()	罚没	收缴	责令停业整顿	吊销公安机关发放的许可证件	D
单选题	64	某人使用针管注射毒品被查获,对于注射针管,属于()	违禁品	作案工具	合法财物	犯罪工具	B
单选题	65	某人携带淫秽光碟乘车返乡,途中被查获,其携带的淫秽光碟属()	违禁品	管制品	作案工具	以上答案都不对	A
单选题	66	根据《治安管理处罚法》规定,违反治安管理行为超过追究时效,不再处罚,如有违禁品的,()	应当追缴	不予追缴	应当收缴	不予收缴	C
单选题	67	办理治安案件所查获的毒品、淫秽物品等违禁品,赌具、赌资,吸食、注射毒品的用具以及直接用于实施违反治安管理行为的本人所有的工具,应当(),按照规定处理	收缴	没收	追缴	查封	A
单选题	68	违反治安管理所得的财物,应当()退还被侵害人	扣押	收缴	追缴	没收	C
单选题	69	公安机关对依法不予处罚的违反治安管理行为人,如有违法所得的,()	应当追缴	不予追缴	可以收缴	不予收缴	A
单选题	70	已满十四周岁不满十八周岁的人违反治安管理的,()处罚	免予	从轻	减轻	从轻或者减轻	D
单选题	71	盲人或者()违反治安管理的,可以从轻、减轻或者不予处罚	又聋又哑的人	耳聋人	哑人	拐子	A
单选题	72	李某系一又聋又哑的人,在实施盗窃的违反治安管理行为时被公安机关抓获,对李某()处罚	从轻	必须减轻	可以从轻、减轻或不予	必须从轻、减轻或不予	C
单选题	73	盲人或者又聋又哑的人违反治安管理的,可以()处罚	免予	从轻	减轻	从轻、减轻或者不予	D
单选题	74	盲人违反治安管理的,可以()处罚	免于	从轻	减轻	从轻、减轻或不予	D
单选题	75	根据《治安管理处罚法》规定,醉酒的人违反治安管理的,应当()	从轻处罚	减轻处罚	免予处罚	给予处罚	D
单选题	76	对醉酒的人采取保护性约束,()使用手铐或脚铐,可以	经批准后可以	不得	情况严重的	可以	C
单选题	77	醉酒的人在醉酒状态中,对本人有危险或者对他人的人身、财产或者公共安全有威胁的,应当对其()约束到酒醒	使用警具	采取保护性措施	使用手铐或脚镣	采取强制性措施	B
单选题	78	根据治安管理处罚法的规定,有两种以上违反治安管理行为的,分别决定,合并执行｡行政拘留处罚合并执行的,最长不超过()	十五日	二十日	二十五日	三十日	B
单选题	79	甲因盗窃被公安机关查获,决定治安拘留十五日,同时查明其还有抢夺行为,决定治安拘留十日,根据法律规定,甲应执行治安拘留()	十日	十五日	二十日	二十五日	C
单选题	80	某个体经营部共有职员6人,在该部经营者甲的带领下共同实施了寻衅滋事的违反治安管理的行为,对此公安机关应当()	分别对6人进行处罚	处罚该单位负责人甲	对该单位进行处罚	以上答案都不对	A
单选题	81	甲乙二人共同实施了殴打他人致轻微伤的行为,公安机关应当对甲乙()	分别处罚	按照二人在殴打他人中所起的作用分别处罚	比照处罚	从重处罚	B
单选题	82	行为人为实施违反治安管理准备工具、制造条件的,应当()	从轻处罚	减轻处罚	不予处罚	从轻处罚、减轻处罚或不予处罚	C
单选题	83	行为人自动放弃实施违反治安管理行为或者自动有效地防止违反治安管理行为结果发生,没有造成损害的,应当()	从轻处罚	减轻处罚	不予处罚	从轻处罚、减轻处罚或不予处罚	D
单选题	84	行为人自动放弃实施违反治安管理行为或者自动有效地防止违反治安管理行为结果发生,造成损害的,应当()	从轻处罚	减轻处罚	不予处罚	从轻处罚、减轻处罚或不予处罚	D
单选题	85	行为人已经着手实施违反治安管理行为,但由于本人意志以外的原因而未得逞的,应当()	从轻处罚	减轻处罚	不予处罚	从轻处罚、减轻处罚或不予处罚	D
单选题	86	根据《治安管理处罚法》的规定,违反治安管理有()情形的,从重处罚	教唆、胁迫、诱骗他人违反治安管理的	平时表现不好	再次违反治安管理	主观恶性较深	A
单选题	87	根据《治安管理处罚法》规定,违反治安管理有()情形的,从重处罚	对报案人、控告人、举报人、证人打击报复的	平时表现不好	再次违反治安管理	手段恶劣	A
单选题	88	违反治安管理行为在()没有被公安机关发现的,不再处罚	六个月内	一年内	三个月内	两年内	A
单选题	89	对连续或继续状态的违反治安管理行为的追究期限,应当从()起算	最早一次行为或行为开始的那一天	最早一天行为或行为终了的那一天	最后一次行为或行为开始的那一天	最后一次行为或行为终了的那一天	D
单选题	90	根据《治安管理处罚法》规定,违反治安管理行为超过追究时效,()	免予处罚	不予处罚	减轻处罚	不再处罚	D
单选题	91	根据《治安管理处罚法》规定,违反治安管理行为的追究时效从行为()起计算	发生之日	发生之次日	发生之时	结束之日	A
单选题	92	根据《治安管理处罚法》规定,违反治安管理行为有连续或者继续状态的,追究时效从行为()起计算	发生之日	发生之次日	终了之日	结束之日	C
单选题	93	在办理治安案件过程中,公安机关负责人的回避,有决定权的是()	上一级公安机关	同级检察院	本局党委会	本案办案成员集体	A
单选题	94	根据《治安管理处罚法》的规定,对无正当理由不接受传唤或者逃避传唤的人,可以()	行政拘留	罚款	警告	强制传唤	D
单选题	95	公安机关应当及时将传唤的()通知被传唤人家属	被传唤人的表现	法律依据	案件具体情况	原因和处所	D
单选题	96	按照《治安管理处罚法》规定,询问不满()的违反治安管理行为人,应当通知其父母或者其他监护人到场	十二周岁	十四周岁	十六周岁	十八周岁	D
单选题	97	公安机关找违反治安管理人员调查案件事实,制作的是()	谈话笔录	询问笔录	盘问笔录	讯问笔录	B
单选题	98	人民警察在公安机关以外询问被侵害人或者其他证人,()	应当出示人民警察证	应当出示身份证	可以出示证件	不需出示证件	A
单选题	99	询问()的违反治安管理行为人、被侵害人或者其他证人,应当有通晓手语的人提供帮助,并在笔录上注明	不通晓当地通用的语言文字	聋子	聋哑	不通晓语言文字	C
单选题	100	公安机关对与违反治安管理行为有关的场所、物品、人身可以进行检查｡检查时,人民警察不得少于()人	三	二	一	四	B
单选题	101	一般情况下,公安机关人民警察对与违反治安管理行为有关的场所、物品和人身进行检查时,应当出示人民警察的工作证件和县级以上人民政府公安机关开具的()	协查证	拘传证	传唤证	检查证	D
单选题	102	治安管理处罚由()人民政府公安机关决定,其中警告、一千元以下罚款可以由公安派出所决定	县级以上	地市级以上	乡镇以上	省级以上	A
单选题	103	对决定给予行政拘留处罚的人在处罚前已经采取强制措施限制人身自由的时间,应当折抵｡限制人身自由一日,折抵行政拘留()	半日	一日	三日	二日	B
单选题	104	公安机关必须充分听取违反治安管理行为人的意见,对违反治安管理行为人提出的事实、理由和证据,应当进行()	复核	审查	审核	审批	A
单选题	105	违反治安管理行为人提出的事实、理由或者证据成立的,公安机关应当()	复核	审核	采纳	不予采纳	C
单选题	106	对决定给予行政拘留处罚的,公安机关()通知被处罚人的家属	应当二日内	可以及时	应当及时	可以二日内	C
单选题	107	公安机关应当向被处罚人宣告治安管理处罚决定书,并当场交付被处罚人;无法当场向被处罚人宣告的,应当在()送达被处罚人	二日内	三日内	五日内	七日内	A
单选题	108	当场作出治安管理处罚决定的,办案民警应当在()内报所属公安机关备案	二日	二十四小时	三日	十二小时	B
单选题	109	对经行政复议撤销、变更原处罚决定或者责令被申请人重新作出具体行政行为的行政诉讼案件,由()出庭应诉	原办案公安机关	作出处罚决定的公安机关	原办案公安机关的上一级公安机关	行政复议机关	D
单选题	110	对被决定给予行政拘留处罚的人,由()的公安机关送达拘留所执行	抓获嫌疑人	作出决定	具体办案	负责押送嫌疑人	B
单选题	111	受到罚款处罚的人应当自收到处罚决定书之日起(),到指定的银行缴纳罚款	三日内	七日内	十日内	十五日内	D
单选题	112	受到罚款处罚的人应当自()起十五日内,到指定的银行缴纳罚款	公安机关作出处罚决定之日	公安机关制作处罚决定书之日	被告知行政处罚决定之日	收到处罚决定书之日	D
单选题	113	根据《治安管理处罚法》规定,被处罚人在当地没有(),不当场收缴事后难以执行的,人民警察可以当场收缴罚款	固定工作	固定收入	自己房产	固定住所	D
单选题	114	人民警察当场收缴罚款,不开具统一印发的罚款收据的,被处罚人有权()	拒绝执行罚款	提出暂缓执行处罚	提出暂缓缴纳罚款	拒绝缴纳罚款	D
单选题	115	被处罚人不服行政拘留处罚决定,申请行政复议、提起行政诉讼的,可以向公安机关提出()的申请	停止执行行政拘留	撤销行政拘留处罚	暂缓执行行政拘留	变更行政拘留处罚	C
单选题	116	根据《治安管理处罚法》的规定,行政拘留时间以日为计算单位,期限为()日以下	十五	二十	十	二十	C
单选题	235	行政拘留处罚合并执行的,最长不超过()日	十五	二十	十	二十	C
单选题	117	下列()行为,不能给予治安管理处罚	卖淫	嫖娼	在公共场所拉客招嫖	组织卖淫	D
单选题	118	询问笔录应当交被询问人核对,对没有阅读能力的,应当向其宣读｡记载有遗漏或者差错的,被询问人可以提出()	补充或者更正	由其他民警书写询问笔录	拒绝签字	重新询问	A
单选题	119	公安机关必须充分听取违反治安管理行为人的意见,对违反治安管理行为人(),应当进行复核	陈述的情况	提出的事实、理由和证据	陈述、申辩	提出的理由	B
单选题	120	甲因对乙造成人身伤害,被公安机关处以行政拘留十五日的处罚｡根据《行政处罚法》规定,这项处罚应当由哪种规范性文件设定()	法律	行政法规	地方性法规	公安部规章	A
单选题	121	下列不属于应当追缴的选项是(),盗窃怀孕的母羊	该母羊所生的小羊	卖淫的收入	将盗窃的货币存入银行所产生的利息	淫秽物品	D
单选题	122	根据《治安管理处罚法》的规定,对已满十四周岁不满十八周岁的人违反治安管理的,应当()处罚	从轻或减轻	减轻或不予	从轻或免于	不予	A
单选题	123	公安机关及其人民警察在办理治安案件时,()不属于应当保密的事项	个人隐私	国家秘密	办案程序	商业秘密	C
单选题	124	公安部规章可以创设行政处罚的范围包括()	警告与罚金	警告与一定数额的罚款	警告与没收财产	警告、罚款与没收财产	B
单选题	125	《治安管理处罚法》修改了听证范围,当事人有权要求听证的罚款数额起点为()	二千元	三千元	四千元	五千元	C
单选题	126	公安机关收到听证申请后,应当在()决定是否受理	二日内	三日内	五日内	七日内	A
单选题	127	公安机关受理听证后,应当在举行听证的()将举行听证通知书送达听证申请人	二日前	三日前	五日前	七日前	D
单选题	128	听证应当在公安机关收到听证申请之日起()举行	十日内	十二日内	十五日内	二十日内	A
单选题	129	治安管理处罚决定应当在()送达	二日内	三日内	五日内	七日内	A
单选题	130	对具有法定情形的违反治安管理行为人作出行政拘留决定后,可不执行行政拘留｡下列情形适用不执行行政拘留错误的是(),丁实施抢夺时十七周岁,初次违反治安管理	甲实施盗窃时十三周岁	乙殴打他人时七十二周岁	丙卖淫被查获	经检查已怀孕2个月	A
单选题	131	张某、李某因共同违法行为被公安机关决定行政拘留后,张某申请行政复议｡下列说法正确的是(),若拘留已经开始执行,则张某需执行拘留完毕后再申请复议	张某向公安机关申请暂缓执行拘留	公安机关对张某可以暂缓执行拘留	张某申请暂缓执行拘留须由李某作担保人	张某、李某必须同时申请复议	B
单选题	132	某村村委会进行换届选举,下列行为中,不构成破坏选举秩序的是(),甲殴打选民刘某,不让其投陈某的票,乙为了获取选票,给部分选民每人一百元现金	丙伪造选票	填上自己中意的候选人	丁在选举会场突然对候选人的资格提出异议	致使选举活动暂时中止	D
单选题	133	张某(17岁,初次违反治安管理),2026年5月1日实施寻衅滋事行为,情节严重、影响恶劣,被公安机关查获｡根据《治安管理处罚法》,对张某的处罚正确的是(),警告,责令其监护人严加管教	行政拘留不执行	行政拘留并执行	罚款一千元	由其监护人缴纳	C
单选题	134	下列行为中未达到刑事追诉标准,可以由公安机关予以治安处罚的是()	童某无证行医	曹某偷逃税款	吕某故意伤害	董某销售劣药	C
单选题	135	以下关于《治安管理处罚法》说法正确的是(),对于因民间纠纷引起的打架斗殴或者损毁他人财物等违反治安管理行为,情节较轻的,公安机关可以调解处理,违反治安管理行为对他人造成损害的,承担治安行政责任的,可以免予民事责任,违反治安管理行为构成犯罪,已经追究治安违法责任	可以免予刑罚	符合治安调解条件的案件	若被侵害人一方同意调解	则可以调解	C
单选题	136	以下关于《治安管理处罚法》说法正确的是(),符合治安调解案件,当事人自行和解后,当事人可以口头向公安机关申请认可,符合治安调解案件,当事人自行和解,则公安机关应当予以认可,调解失败	公安机关应为当事人提交民事诉讼状	经公安机关调解	当事人达成协议并履行的	不予处罚	D
单选题	137	乔某因征地纠纷找拆迁部门索要青苗补偿费,因双方未谈妥,乔某躺在该单位门口,致使人员、车辆无法正常进出,引发围观｡乔某违反治安管理行为的性质是()	寻衅滋事	扰乱单位秩序	扰乱公共场所秩序	聚众妨碍交通工具正常行驶	B
单选题	138	以下不构成违反治安管理的是()	组织作弊的	为他人组织作弊提供作弊器材或者其他帮助的	代替他人或者让他人代替自已参加考试的	参与作弊的	B
单选题	139	李某与周某因债务发生纠纷,李某心生怨气,发送短信对周某进行辱骂｡起初周某未予理睬,但李某继续向周某发送数十条辱骂信息,周某不堪其扰而报警｡对李某的行为,公安机关可以如何处理()	以发送信息干扰正常生活对李某予以治安管理处罚	以侮辱对李某予以治安管理处罚	以诽谤对李某予以治安管理处罚	以侵犯隐私对李某予以治安管理处罚	B
单选题	140	刘某在居住的小区内看到一辆小轿车的后车门没有关严,随即进入车中,想法接通点火电线启动汽车,并绕环城公路驾驶一圈后将汽车停在原处｡车的主人发现车被人挪动后报警,民警根据小区的监控录像将刘某抓获｡下列说法正确的是(),按照《治安管理处罚法》,以偷开他人机动车的规定处罚,按照《治安管理处罚法》,以寻衅滋事的规定处罚	刘某的行为属盗窃中止	应追究刑事责任	刘某的行为属盗窃未遂	应追究刑事责任	A
单选题	141	某小区业主甲因邻居乙在家唱卡拉OK影响其休息而多次报警｡某日,甲、乙2人为此又发生相互殴打,均造成轻微伤害｡派出所民警赵某、张某对这起纠纷进行了处理｡以下说法正确的是(),制造噪声干扰他人正常生活的,警告后不改正的,处二百元以上五百元以下罚款,制造噪声干扰他人正常生活的,警告、罚款后不改正的	处五日以下拘留	制造噪声干扰他人正常生活的	处警告	赵某、张某对此案可以调解处理	D
单选题	142	十五岁的赵某因多次在学校周边寻衅滋事,扰乱公共秩序,情节严重且影响恶劣｡根据《治安管理处罚法》规定,对赵某的处罚正确的是(),不予处罚,仅责令监护人管教,从轻处罚	处以五百元罚款	可依法执行行政拘留	减轻处罚	给予警告	C
单选题	143	教唆十三周岁未成年人实施盗窃行为,对教唆者应当()	不予处罚	按盗窃行为从轻处罚	按盗窃行为从重处罚	与未成年人共同处罚	C
单选题	144	王某虚构“某商场出现疫情”的虚假信息在网络传播,引发群众恐慌,其行为构成()	扰乱公共场所秩序	虚构事实扰乱公共秩序	诽谤	妨碍社会管理	B
单选题	145	高空抛物未造成人身伤害但危害公共安全,情节严重的,根据《治安管理处罚法》规定,应处(),警告或者二百元以下罚款	五日以下拘留或者五百元以下罚款	五日以上十日以下拘留或者一千元以下罚款	十日以上十五日以下拘留	可以并处一千元以下罚款	D
单选题	146	甲饲养了一条宠物狗,因该狗经常在夜间长吠,邻居乙多次要求甲采取措施,甲因此怀恨在心,某晚甲在小区内遛狗,见乙的女儿回家,甲驱使宠物狗将乙的女儿咬伤｡乙要求公安机关处罚甲赔偿其女儿的医药费及精神损失费等经济赔偿,公安机关应(),参照民法有关规定,应裁决甲赔偿乙的损失,责令甲赔偿损失	不赔偿的可予警告	但对乙提出的精神损失的赔偿请求应提起民事诉讼	告知乙就赔偿的问题向人民调解委员会申请调解	告知乙就赔偿问题向人民法院提起诉讼	D
单选题	147	根据《治安管理处罚法》的规定,对违反治安管理的行为造成的损失,公安机关做法正确的是(),裁决违反治安管理行为人赔偿损失或者负担医疗费用,必须组织调解,符合法定调解条件的	可以进行调解	调解不成的或不属于调解范围的	告知当事人依法到人民法院进行民事诉讼	告知当事人向检察机关反映	C
单选题	148	对因()引起的治安案件进行调解时,可以邀请当事人居住地的村(居)民委员会的人员或者双方当事人熟悉的人员参加帮助调解	同事之间的纠纷	邻里纠纷	亲友之间纠纷	在校学生之间的纠纷	B
单选题	149	对因邻里纠纷引起的治安案件进行调解时,可以邀请当事人居住地的()或者双方当事人熟悉的人员参加帮助调解	公安派出所民警	居(村)民委员会的人员	政府机构工作人员	政府信访部门工作人员	B
单选题	150	陈某盗窃他人财物被公安机关查获,办案民警在调查中发现其十五岁,对陈某应()	免于处罚	从轻处罚	从轻或减轻处罚	减轻处罚	C
单选题	151	精神病人违反治安管理不予处罚的,公安机关应当要求()严加看管和治疗	辖区居委会	精神病专科医院	患者的监护人	社区	C
单选题	152	根据《治安管理处罚法》的规定,对精神病人在不能辨认或者不能控制自己行为的时候违反治安管理的,()	从轻处罚	减轻处罚	免予处罚	不予处罚	D
单选题	153	根据《治安管理处罚法》的规定,间歇性的精神病人在精神正常的时候违反治安管理的,应当()	从轻处罚	减轻处罚	免予处罚	给予处罚	D
